Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
3535;MU89016262;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3536;PI05024110;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2005;Não TT
3537;PI06022545;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3538;PI06027121;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3539;PI06034853;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3540;PI08057869;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3541;PI10020675;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;Não TT
3542;C102007517;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;Não TT
3543;PI02005166;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3544;PI02007517;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3545;PI05009715;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2005;Não TT
3546;PI08007888;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3547;PI09033734;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3548;PI04013743;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3549;PI04022297;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;2004
3550;PI08005524;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;2008
3551;C103049523;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3552;PI01022520;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2001;2003
3553;PI02016664;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3554;PI03049523;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3555;PI04045432;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3556;PI10006648;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;2012
3557;BR1020120276810;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2012;Não TT
3558;PI00044369;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2000;Não TT
3559;PI01063057;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2001;Não TT
3560;PI02032104;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3561;PI02032112;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;2011
3562;PI02103672;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3563;PI06023665;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3564;PI09042466;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3565;PI09047654;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3566;PI10017020;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;Não TT
3567;PI97108251;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;1997;Não TT
3568;MU87024918;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;2009
3569;MU87024926;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;2009
3570;MU87025140;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;2009
3571;MU87026570;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;Não TT
3572;PI06006361;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3573;PI08014302;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3574;PI08057893;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3575;PI09050299;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3576;PI10055398;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;Não TT
3577;PI10066446;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;Não TT
3578;PI11061219;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2011;Não TT
3579;MU83034862;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3580;MU83034870;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3581;MU83036881;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3582;PI00031488;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2000;Não TT
3583;PI03027740;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3584;BR1020120067080;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2012;Não TT
3585;BR1020130178837;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2013;Não TT
3586;BR1020130205737;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2013;Não TT
3587;PI00038199;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2000;Não TT
3588;PI02060744;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3589;PI03029883;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3590;PI04042700;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3591;BR1020120336049;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2012;Não TT
3592;PI01052438;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2001;Não TT
3593;PI02039087;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3594;PI03030784;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3595;PI03036316;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;Não TT
3596;PI04035402;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3597;PI04041801;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3598;PI04045815;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3599;PI07055358;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;Não TT
3600;PI08028001;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3601;PI08028044;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3602;PI09026436;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2009;Não TT
3603;PI10059083;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2010;Não TT
3604;PI11004290;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2011;Não TT
3605;PI11016825;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2011;Não TT
3606;BR2020140324629;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2014;Não TT
3607;PI01059599;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2001;Não TT
3608;PI02057832;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3609;PI03056465;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;2009
3610;PI06050883;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2006;Não TT
3611;PI07059906;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2007;Não TT
3612;C102063360;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2008;Não TT
3613;PI00064696;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2000;Não TT
3614;PI02060639;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;Não TT
3615;PI02063360;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2002;2020
3616;PI03067742;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2003;2008
3617;PI04054890;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
3618;PI99075750;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;1999;Não TT
3619;C101038877;UFMG;17.217.985/0001-04;UFMG;UFMG;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;O;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;2004;Não TT
